Host ^nn++++=HOST-PARASITE
- ^zz++++=EXTRAWORD
billed ^jj+atrb++xvbn+=EXTRAWORD
firefinch ^nn+++??+=firefinch
( ^zz++++=(Lagonosticta
lagonosticta ^nn+++??+=EXTRAWORD
senegala ^nn+++??+=senegala
) ^zz++++=),
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
a ^at++++=a
stand ^vb++++=stand-in
- ^zz++++=EXTRAWORD
in ^in++++=EXTRAWORD
non ^&fw++++=non-normal
- ^zz++++=EXTRAWORD
normal ^jj+atrb+++=EXTRAWORD
host ^nn++++=host
parent ^nn++++=parent,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Bengalese ^np+nom++??+=Bengalese
finch ^np++++=finch
( ^zz++++=(Lonchura
lonchura ^nn+++??+=EXTRAWORD
striata ^nn+++??+=striata).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
conducted ^vbd+++xvbnx+=conducted
a ^at++++=a
second ^od++++=second
experiment ^nn+nom+++=experiment
in ^in++++=in
2000 ^cd++++=2000
to ^in++++=to
test ^nn++++=test
the ^ati++++=the
extent ^nn++++=extent
of ^in++++=of
female ^nn++++=female
imprinting ^vwbg+++xvbg+=imprinting
and ^cc++++=and
further ^jjb++++=further
strengthen ^vb++++=strengthen
previous ^jj+atrb+++=previous
observations ^nns+nom+++=observations
for ^in++++=for
the ^ati++++=the
1998 ^cd+date+++=1998
study ^nn++++=study.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
experiment ^nn+nom+++=experiment
was ^vbd+bedz+aux++=was
designed ^vpsv++agls+xvbnx+=designed
principally ^rb+down+++=principally
to ^in++++=to
test ^nn++++=test
three ^cd++++=three
hypotheses ^nns+nom+++=hypotheses:
: ^zz++++=EXTRAWORD
an ^at++++=an
H0 ^np+++??+=H0
of ^in++++=of
no ^at++++=no
preferential ^jj+atrb+++=preferential
selection ^nn+nom+++=selection
of ^in++++=of
host ^nn++++=host-nest
- ^zz++++=EXTRAWORD
nest ^nn++++=EXTRAWORD
by ^in++++=by
female ^nn++++=female
indigobirds ^nns+++??+=indigobirds;
; ^zz++++=EXTRAWORD
an ^at++++=an
Ha1 ^np+++??+=Ha1
of ^in++++=of
innate ^jj+atrb+++=innate
selection ^nn+nom+++=selection
